RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,pmDE,Gmag,BPmag,RPmag
56.29970655907,23.26100088624,0.219,0.4557,2.721,-0.875,19.586782,20.207155,18.863811
56.31187534304,23.25615636617,0.8742,0.6493,-1.735,-5.17,20.001284,20.874315,18.994102
56.3054351516,23.26484284,2.6486,1.1043,0.152,-19.28,20.46428,21.097471,19.070179
56.28885509191,23.27596376545,0.1802,0.1463,6.824,-9.67,17.99754,18.467978,17.386631
56.27559048728,23.27885146249,-0.3159,0.9182,-2.95,-0.975,20.37425,20.880724,19.652622
56.26915181062,23.27549627972,,,,,20.912683,21.138159,19.643484
56.27480840954,23.28176848536,0.3975,0.276,-0.691,-3.063,18.589771,19.13323,17.952698
56.27001240205,23.28184658425,1.6016,0.3162,25.935,-14.649,18.914043,20.688047,17.706924
56.27350772077,23.29409853091,2.2309,0.0893,24.736,-87.267,17.11481,18.152431,16.12558
56.26137437944,23.30093755696,0.6658,0.2403,4.364,-9.948,18.714249,20.009941,17.606974
56.26683387728,23.30199815273,1.3099,0.6244,5.045,2.603,19.988436,20.753002,18.930882
56.23889969697,23.29392271794,,,,,20.953823,21.157673,20.022955
56.24832003082,23.31450790307,0.81,0.0859,10.081,-30.797,15.802562,16.401548,15.021703
57.12565181807,23.14037699469,,,,,21.19134,18.87939,17.237093
57.12506398698,23.15103238688,2.1326,0.8549,0.25,-5.097,20.330942,21.449976,19.141254
57.1355229765,23.14917851397,1.062,0.8006,-0.081,-0.615,20.38246,20.776525,19.608042
56.80911058656,23.11869735231,1.8332,1.8946,18.418,-7.792,20.703817,21.00393,19.731148
56.78043088608,23.11593254203,0.9169,0.6572,-1.584,-5.165,19.734093,20.72724,18.724997
56.8002454859,23.1187044949,-1.2617,0.9095,0.238,0.714,20.23032,20.59749,19.523436
56.79604025218,23.12020558504,,,,,20.985245,20.912235,19.377676
56.792931439,23.12360132679,0.0915,0.2249,1.095,-0.728,18.54257,18.996424,17.983803
56.7948950898,23.12620311631,0.0031,0.2149,0.481,-0.907,18.537113,19.014902,17.932413
56.79928940344,23.13324286947,-0.2118,1.0718,6.145,-4.692,20.432907,21.02697,19.33264
56.76704723046,23.11640758254,0.0935,0.2314,0.449,-0.536,18.52168,18.84087,17.986284
56.7478028982,23.11885144582,0.6243,0.3948,7.604,-6.224,19.29502,20.304523,18.324598
56.76040228294,23.12318212038,0.2959,0.3452,0.776,0.364,19.048069,19.55134,18.41512
56.75015797592,23.12720486671,0.303,0.0769,-0.114,-2.123,16.73924,17.112528,16.205511
56.76758936493,23.12518884588,,,,,20.674076,20.808895,19.787836
56.78173956785,23.13648443547,0.5724,0.1564,16.482,-4.053,17.796642,18.453045,17.03921
56.7921008144,23.13338435331,1.7702,1.25,6.448,-37.051,20.256006,21.603384,18.911436
56.78708385885,23.1291632024,,,,,20.883879,21.827858,19.49962
56.79020833265,23.13508142154,0.3886,0.1696,-3.01,-4.549,17.780079,18.310646,17.117134
56.77494624529,23.13614445787,0.9106,0.1456,2.705,-1.746,17.857246,18.710098,16.986935
56.76931289852,23.13513413008,0.3108,0.0611,0.229,-1.834,16.179361,16.535942,15.652886
56.98644402658,23.11604159904,1.3199,2.2471,4.6,-0.926,20.876282,22.044842,19.941671
56.96845245104,23.1241935057,2.4482,0.2512,30.571,-19.595,18.79146,20.492422,17.516024
